n,a,u,v,s,t,scaled,residual
26,0,3,5,3,5,0.9999997809707686,0.9999997809707686
26,0,3,7,3,7,0.9999990672966959,0.9999990672966959
26,0,3,11,3,11,0.9999981643005866,0.9999981643005866
26,0,3,13,3,13,0.9999975251563299,0.9999975251563299
26,0,3,17,3,17,0.999999372824965,0.999999372824965
26,0,3,19,3,19,0.9999978642309585,0.9999978642309585
26,0,5,7,5,7,0.9999983290097854,0.9999983290097854
26,0,5,9,5,9,1.000000298303439,1.000000298303439
26,0,5,11,5,11,0.9999985299303495,0.9999985299303495
26,0,5,13,5,13,1.0000044721841486,1.0000044721841486
26,0,5,17,5,17,1.0000193884864252,1.0000193884864252
26,0,5,19,5,19,0.999998091832802,0.999998091832802
26,0,7,9,7,9,1.0001828516810696,1.0001828516810696
26,0,7,11,7,11,0.9999980065478841,0.9999980065478841
26,0,7,13,7,13,1.0000031494013362,1.0000031494013362
26,0,7,15,7,15,0.9999986671459674,0.9999986671459674
26,0,7,17,7,17,0.9999974993970239,0.9999974993970239
26,0,7,19,7,19,0.9999997685388855,0.9999997685388855
26,0,9,11,9,11,0.9999981262604312,0.9999981262604312
26,0,9,13,9,13,1.0000011233737587,1.0000011233737587
26,0,9,17,9,17,0.9999989004492732,0.9999989004492732
26,0,9,19,9,19,0.9999997362111563,0.9999997362111563
26,0,11,13,11,13,0.9999969455349944,0.9999969455349944
26,0,11,15,11,15,0.9999972185602974,0.9999972185602974
26,0,11,17,11,17,0.999997385775887,0.999997385775887
26,0,11,19,11,19,0.9999970636699564,0.9999970636699564
26,0,13,15,13,15,1.0000030324087705,1.0000030324087705
26,0,13,17,13,17,0.999997100619814,0.999997100619814
26,0,13,19,13,19,0.9999990129594329,0.9999990129594329
26,0,15,17,15,17,1.000579026721119,1.000579026721119
26,1,3,5,6,10,1.461018159647759,0.7305090798238795
26,1,3,7,6,14,1.4610156066640905,0.7305078033320452
26,1,3,11,6,22,1.4610112097749133,0.7305056048874566
26,1,3,13,6,26,1.461010517624686,0.730505258812343
26,1,3,17,6,34,1.4610160761790079,0.7305080380895039
26,1,3,19,6,38,1.4610100654711495,0.7305050327355748
26,1,5,7,10,14,1.4610102053644833,0.7305051026822417
26,1,5,9,10,18,1.4610180586839496,0.7305090293419748
26,1,5,11,10,22,1.461010316466209,0.7305051582331045
26,1,5,13,10,26,1.4610342650629118,0.7305171325314559
26,1,5,17,10,34,1.4610794160914065,0.7305397080457032
26,1,5,19,10,38,1.4610085011929952,0.7305042505964976
26,1,7,9,14,18,1.461542104623978,0.730771052311989
26,1,7,11,14,22,1.4610087740951998,0.7305043870475999
26,1,7,13,14,26,1.4610249834669011,0.7305124917334506
26,1,7,15,14,30,1.4610131013043295,0.7305065506521647
26,1,7,17,14,34,1.4610066000497521,0.7305033000248761
26,1,7,19,14,38,1.4610154237618165,0.7305077118809082
26,1,9,11,18,22,1.4610090430396339,0.7305045215198169
26,1,9,13,18,26,1.461020705461484,0.730510352730742
26,1,9,17,18,34,1.4610120497070023,0.7305060248535011
