n,a,u,v,s,t,scaled,residual
10,0,3,5,3,5,1.0017881910092985,1.0017881910092985
10,0,3,7,3,7,1.0071538944990777,1.0071538944990777
10,0,3,11,3,11,0.9954703621018698,0.9954703621018698
10,0,3,13,3,13,0.986832264010577,0.986832264010577
10,0,3,17,3,17,1.0030910725167774,1.0030910725167774
10,0,3,19,3,19,0.9796394701604703,0.9796394701604703
10,0,5,7,5,7,0.9921613877357729,0.9921613877357729
10,0,5,9,5,9,0.9933258948877656,0.9933258948877656
10,0,5,11,5,11,0.9918638609028025,0.9918638609028025
10,0,5,13,5,13,1.0185308734853373,1.0185308734853373
10,0,5,17,5,17,1.0930042203325088,1.0930042203325088
10,0,5,19,5,19,0.9697051924119606,0.9697051924119606
10,0,7,9,7,9,1.0949250984334906,1.0949250984334906
10,0,7,11,7,11,1.0008686719371764,1.0008686719371764
10,0,7,13,7,13,1.006976139611073,1.006976139611073
10,0,7,15,7,15,0.9691073289884236,0.9691073289884236
10,0,7,17,7,17,0.9690947321169746,0.9690947321169746
10,0,7,19,7,19,0.9811968184303657,0.9811968184303657
10,0,9,11,9,11,0.9820569047722493,0.9820569047722493
10,0,9,13,9,13,1.0260841930709867,1.0260841930709867
10,0,9,17,9,17,0.9493154215278379,0.9493154215278379
10,0,9,19,9,19,0.9795698855105446,0.9795698855105446
10,0,11,13,11,13,1.0187915393871096,1.0187915393871096
10,0,11,15,11,15,0.9696812378484112,0.9696812378484112
10,0,11,17,11,17,0.996792241304686,0.996792241304686
10,0,11,19,11,19,0.9789924605214635,0.9789924605214635
10,0,13,15,13,15,0.959369085128586,0.959369085128586
10,0,13,17,13,17,0.9522820669911055,0.9522820669911055
10,0,13,19,13,19,1.0183297520916057,1.0183297520916057
10,0,15,17,15,17,1.379185106718081,1.379185106718081
10,1,3,5,6,10,1.4807759343889015,0.7403879671944508
10,1,3,7,6,14,1.4973928685236038,0.7486964342618019
10,1,3,11,6,22,1.4263289438911042,0.7131644719455521
10,1,3,13,6,26,1.4090402044837362,0.7045201022418681
10,1,3,17,6,34,1.4850998033268532,0.7425499016634266
10,1,3,19,6,38,1.375189943125799,0.6875949715628995
10,1,5,7,10,14,1.4192381206733224,0.7096190603366612
10,1,5,9,10,18,1.4411381597158173,0.7205690798579086
10,1,5,11,10,22,1.4090817253629517,0.7045408626814759
10,1,5,13,10,26,1.545768091860829,0.7728840459304145
10,1,5,17,10,34,1.9708354220069486,0.9854177110034743
10,1,5,19,10,38,1.3872154050068883,0.6936077025034442
10,1,7,9,14,18,1.653075194981853,0.8265375974909265
10,1,7,11,14,22,1.430825303387527,0.7154126516937634
10,1,7,13,14,26,1.4475653597404579,0.7237826798702289
10,1,7,15,14,30,1.3391286215955376,0.6695643107977688
10,1,7,17,14,34,1.3004842276967241,0.6502421138483621
10,1,7,19,14,38,1.3448620301011125,0.6724310150505562
10,1,9,11,18,22,1.391495873372822,0.695747936686411
10,1,9,13,18,26,1.5387969559600414,0.7693984779800207
10,1,9,17,18,34,1.3139079988851858,0.6569539994425929
10,1,9,19,18,38,1.3649188793386173,0.6824594396693087
10,1,11,13,22,26,1.464707791439515,0.7323538957197575
10,1,11,15,22,30,1.382768503305024,0.691384251652512
10,1,11,17,22,34,1.32949271247249,0.664746356236245
10,1,11,19,22,38,1.440106676736505,0.7200533383682525
10,1,13,15,26,30,1.307533945108825,0.6537669725544125
10,1,13,17,26,34,1.3199247116124344,0.6599623558062172
10,1,13,19,26,38,1.3634993212085855,0.6817496606042928
10,1,15,17,30,34,3.950694597257581,1.9753472986287905
10,2,3,5,12,20,3.9269821008335963,0.9817455252083991
10,2,3,7,12,28,3.9126793631391252,0.9781698407847813
10,2,3,11,12,44,3.809856047843352,0.952464011960838
10,2,3,13,12,52,3.683739630986681,0.9209349077466702
10,2,3,17,12,68,4.048177147753486,1.0120442869383715
10,2,3,19,12,76,3.65940197086205,0.9148504927155126
10,2,5,7,20,28,3.6748374202516123,0.9187093550629031
10,2,5,9,20,36,3.842114845242925,0.9605287113107313
10,2,5,11,20,44,3.734110394657957,0.9335275986644892
10,2,5,13,20,52,4.232320671730749,1.0580801679326872
10,2,5,17,20,68,6.165193265312037,1.5412983163280092
10,2,5,19,20,76,3.877674305635628,0.969418576408907
