n,a,u,v,s,t,scaled,residual
10,6,3,5,192,320,92.45926093841223,1.444675952162691
10,6,3,7,192,448,40.92209134777286,0.639407677308951
10,6,3,11,192,704,35.065017387474754,0.547890896679293
10,6,3,13,192,832,41.44047454899784,0.6475074148280913
10,6,3,17,192,1088,-8.680485324408238e-05,-1.3563258319387872e-06
10,6,3,19,192,1216,-9.701718891985678e-05,-1.5158935768727622e-06
10,6,5,7,320,448,19.192885912415232,0.299888842381488
10,6,5,9,320,576,-9.802760271515609e-05,-1.531681292424314e-06
10,6,5,11,320,704,45.240413752481395,0.7068814648825218
10,6,5,13,320,832,-0.00014159542614411436,-2.212428533501787e-06
10,6,5,17,320,1088,-0.0001729698632768617,-2.702654113700964e-06
10,6,5,19,320,1216,-0.0001933192589564925,-3.020613421195195e-06
10,6,7,9,448,576,83.99983744419904,1.31249746006561
10,6,7,11,448,704,-0.0001436702605821516,-2.2448478215961187e-06
10,6,7,13,448,832,96.69442781240554,1.5108504345688365
10,6,7,15,448,960,57.57865933370634,0.8996665520891616
10,6,7,17,448,1088,-0.00021097376014367342,-3.296465002244897e-06
10,6,7,19,448,1216,-0.00023579420251351735,-3.6842844142737086e-06
10,6,9,11,576,704,-0.0002064857105499307,-3.226339227342667e-06
10,6,9,13,576,832,186.48219223068972,2.913784253604527
10,6,9,17,576,1088,-0.00030643190824797273,-4.787998566374574e-06
10,6,9,19,576,1216,-0.00034248272098302834,-5.351292515359818e-06
10,6,11,13,704,832,-0.000298257137461011,-4.660267772828297e-06
10,6,11,15,704,960,-0.00034206661862379306,-5.344790915996767e-06
10,6,11,17,704,1088,-0.0003721748300744565,-5.815231719913383e-06
10,6,11,19,704,1216,-0.00041596010420086316,-6.499376628138487e-06
10,6,13,15,832,960,-0.0004067142783559241,-6.354910599311314e-06
10,6,13,17,832,1088,-0.00044262386746929394,-6.915997929207718e-06
10,6,13,19,832,1216,-0.000494697263642152,-7.729644744408626e-06
10,6,15,17,960,1088,-0.0005075111319197134,-7.929861436245522e-06
11,6,3,5,192,320,67.12493339674553,1.048827084324149
11,6,3,7,192,448,60.05400958471264,0.938343899761135
11,6,3,11,192,704,40.28939525266937,0.6295218008229589
11,6,3,13,192,832,43.777088404425854,0.684017006319154
11,6,3,17,192,1088,55.636297648107345,0.8693171507516773
11,6,3,19,192,1216,24.399429337222912,0.381241083394108
11,6,5,7,320,448,36.3069754922781,0.5672964920668453
11,6,5,9,320,576,37.61860782150333,0.5877907472109896
11,6,5,11,320,704,31.990556119486683,0.49985243936697943
11,6,5,13,320,832,41.205428085232995,0.6438348138317656
11,6,5,17,320,1088,97.14272753007221,1.5178551176573782
11,6,5,19,320,1216,41.3234236563505,0.6456784946304766
11,6,7,9,448,576,145.05544568571287,2.2664913388392636
11,6,7,11,448,704,39.01546508881968,0.6096166420128075
11,6,7,13,448,832,32.78742533659896,0.5123035208843587
11,6,7,15,448,960,54.09202057068802,0.8451878214170003
11,6,7,17,448,1088,-0.00011585616492615358,-1.8102525769711497e-06
11,6,7,19,448,1216,-0.00015581493823257908,-2.434608409884048e-06
11,6,9,11,576,704,62.70343367863583,0.9797411512286849
11,6,9,13,576,832,52.69408828254616,0.8233451294147838
11,6,9,17,576,1088,-0.00017340362300855006,-2.7094316095085946e-06
11,6,9,19,576,1216,-0.00022243311537861743,-3.4755174277908973e-06
11,6,11,13,704,832,6.675561645725051,0.10430565071445393
11,6,11,15,704,960,-0.0001419001396052444,-2.2171896813319436e-06
11,6,11,17,704,1088,-0.00017166127359802275,-2.6822073999691054e-06
11,6,11,19,704,1216,72.79399742871075,1.1374062098236055
11,6,13,15,832,960,-0.000176051049078918,-2.7507976418580937e-06
11,6,13,17,832,1088,-0.00021335568065072863,-3.333682510167635e-06
11,6,13,19,832,1216,-0.00028665327730004186,-4.478957457813154e-06
11,6,15,17,960,1088,339.99959896323344,5.3124937338005225
12,6,3,5,192,320,60.39292593014193,0.9436394676584676
12,6,3,7,192,448,66.78098420457222,1.043452878196441
12,6,3,11,192,704,53.408870229163206,0.8345135973306751
12,6,3,13,192,832,45.11796877296306,0.7049682620775478
12,6,3,17,192,1088,52.02857586593666,0.8129464979052603
12,6,3,19,192,1216,49.55817776518944,0.774346527581085
12,6,5,7,320,448,45.66199323545347,0.7134686443039605
12,6,5,9,320,576,45.64931770957051,0.7132705892120392
12,6,5,11,320,704,56.38206548005413,0.8809697731258458
12,6,5,13,320,832,44.81742291354617,0.7002722330241589
12,6,5,17,320,1088,75.19636492548926,1.1749432019607697
12,6,5,19,320,1216,74.67072742099575,1.1667301159530585
12,6,7,9,448,576,139.84882246241932,2.185137850975302
12,6,7,11,448,704,35.440589939689474,0.553759217807648
12,6,7,13,448,832,41.18563851342118,0.643525601772206
12,6,7,15,448,960,57.76968318697243,0.9026512997964442
12,6,7,17,448,1088,25.747336692818966,0.40230213582529634
12,6,7,19,448,1216,42.14438975096974,0.6585060898589021
12,6,9,11,576,704,34.36391505964515,0.5369361728069555
12,6,9,13,576,832,63.77652626274943,0.9965082228554598
12,6,9,17,576,1088,42.25230174008789,0.6601922146888732
12,6,9,19,576,1216,53.73180233493552,0.8395594114833675
12,6,11,13,704,832,44.644950670544205,0.6975773542272532
12,6,11,15,704,960,38.20872442954975,0.5970113192117148
12,6,11,17,704,1088,33.05199823178201,0.5164374723715939
12,6,11,19,704,1216,47.68440233164907,0.7450687864320167
12,6,13,15,832,960,50.05444594945252,0.7821007179601956
12,6,13,17,832,1088,17.326316091602884,0.27072368893129506
12,6,13,19,832,1216,41.08260898922317,0.641915765456612
12,6,15,17,960,1088,213.22525468522187,3.3316446044565917
13,6,3,5,192,320,61.61272263530273,0.9626987911766052
13,6,3,7,192,448,62.282570627751,0.9731651660586094
13,6,3,11,192,704,58.11870844315021,0.908104819424222
13,6,3,13,192,832,55.456879529882514,0.8665137426544143
13,6,3,17,192,1088,68.90493684634741,1.0766396382241783
13,6,3,19,192,1216,53.53280135567999,0.8364500211824999
13,6,5,7,320,448,56.62784275863299,0.8848100431036404
13,6,5,9,320,576,56.35389620017529,0.8805296281277389
13,6,5,11,320,704,53.217283132066726,0.8315200489385426
13,6,5,13,320,832,63.21106570900249,0.9876729017031639
13,6,5,17,320,1088,122.5873195441725,1.9154268678776953
13,6,5,19,320,1216,58.5425241595926,0.9147269399936344
13,6,7,9,448,576,98.19306595773575,1.5342666555896212
13,6,7,11,448,704,59.171492632707704,0.9245545723860579
13,6,7,13,448,832,62.314724888940376,0.9736675763896934
13,6,7,15,448,960,44.69722134233653,0.6983940834740083
13,6,7,17,448,1088,44.277562921497406,0.691836920648397
13,6,7,19,448,1216,46.011032692951524,0.7189223858273676
13,6,9,11,576,704,57.698731914228944,0.9015426861598272
13,6,9,13,576,832,69.40280751461802,1.0844188674159065
13,6,9,17,576,1088,44.28787696367345,0.6919980775573976
13,6,9,19,576,1216,48.352348967001234,0.7555054526093943
13,6,11,13,704,832,62.9006006769924,0.9828218855780062
13,6,11,15,704,960,46.39091497865682,0.7248580465415128
13,6,11,17,704,1088,53.173391090371176,0.8308342357870496
13,6,11,19,704,1216,57.8381653197775,0.9037213331215235
13,6,13,15,832,960,37.84208642223401,0.5912826003474064
13,6,13,17,832,1088,28.280176072631807,0.441877751134872
13,6,13,19,832,1216,63.45941492617104,0.9915533582214225
13,6,15,17,960,1088,328.45589256252066,5.132123321289385
14,6,3,5,192,320,61.7547490335133,0.9649179536486453
14,6,3,7,192,448,61.763675342264754,0.9650574272228868
14,6,3,11,192,704,60.05932927344845,0.938427019897632
14,6,3,13,192,832,57.91876466145139,0.904980697835178
