+-----------------+--------+--------+--------------+
| circuit_type    | nqubit | nlayer | fi_value     |
+=================+========+========+==============+
| ph1             | 4      | -      | 0.2500000000 |
| ph_1_random     | 4      | -      | 0.2500000000 |
| ph_1_random     | 4      | -      | 0.2500000000 |
| ph_1_random     | 4      | -      | 0.2500000000 |
| ph_1_random     | 4      | -      | 0.2500000000 |
| ph_1_random     | 4      | -      | 0.2500000000 |
| ph_1_random     | 4      | -      | 0.2500000000 |
| ph_1_random     | 4      | -      | 0.2500000000 |
| ph_1_random     | 4      | -      | 0.2500000000 |
| ph_1_random     | 4      | -      | 0.2500000000 |
| ph_1_random     | 4      | -      | 0.2500000000 |
| ph_random       | 4      | 2      | 1.2500000000 |
| ph_random       | 4      | 2      | 1.2500000000 |
| ph_random       | 4      | 2      | 1.2500000000 |
| ph_random       | 4      | 2      | 1.2500000000 |
| ph_random       | 4      | 2      | 1.2500000000 |
| ph_random       | 4      | 2      | 1.2500000000 |
| ph_random       | 4      | 2      | 1.2500000000 |
| ph_random       | 4      | 2      | 1.2500000000 |
| ph_random       | 4      | 2      | 1.2500000000 |
| ph_random       | 4      | 2      | 1.2500000000 |
| ph_random_phase | 4      | 2      | 0.7419030040 |
| ph_random_phase | 4      | 2      | 0.7419030040 |
| ph_random_phase | 4      | 2      | 0.7419030040 |
| ph_random_phase | 4      | 2      | 0.7419030040 |
| ph_random_phase | 4      | 2      | 0.7419030040 |
| ph_random_phase | 4      | 2      | 0.7419030040 |
| ph_random_phase | 4      | 2      | 0.7419030040 |
| ph_random_phase | 4      | 2      | 0.7419030040 |
| ph_random_phase | 4      | 2      | 0.7419030040 |
| ph_random_phase | 4      | 2      | 0.7419030040 |
| qft             | 4      | -      | 0.2500000000 |
| ph1             | 5      | -      | 0.4832645654 |
| ph_1_random     | 5      | -      | 0.3839049398 |
| ph_1_random     | 5      | -      | 0.3839049398 |
| ph_1_random     | 5      | -      | 0.3839049398 |
| ph_1_random     | 5      | -      | 0.3839049398 |
| ph_1_random     | 5      | -      | 0.3839049398 |
| ph_1_random     | 5      | -      | 0.3839049398 |
| ph_1_random     | 5      | -      | 0.3839049398 |
| ph_1_random     | 5      | -      | 0.3839049398 |
| ph_1_random     | 5      | -      | 0.3839049398 |
| ph_1_random     | 5      | -      | 0.3839049398 |
| ph_random       | 5      | 2      | 1.1952423836 |
| ph_random       | 5      | 2      | 1.1952423836 |
| ph_random       | 5      | 2      | 1.1952423836 |
| ph_random       | 5      | 2      | 1.1952423836 |
| ph_random       | 5      | 2      | 1.1952423836 |
| ph_random       | 5      | 2      | 1.1952423836 |
| ph_random       | 5      | 2      | 1.1952423836 |
| ph_random       | 5      | 2      | 1.1952423836 |
| ph_random       | 5      | 2      | 1.1952423836 |
| ph_random       | 5      | 2      | 1.1952423836 |
| ph_random_phase | 5      | 2      | 0.9421327080 |
| ph_random_phase | 5      | 2      | 0.9421327080 |
| ph_random_phase | 5      | 2      | 0.9421327080 |
| ph_random_phase | 5      | 2      | 0.9421327080 |
| ph_random_phase | 5      | 2      | 0.9421327080 |
| ph_random_phase | 5      | 2      | 0.9421327080 |
| ph_random_phase | 5      | 2      | 0.9421327080 |
| ph_random_phase | 5      | 2      | 0.9421327080 |
| ph_random_phase | 5      | 2      | 0.9421327080 |
| ph_random_phase | 5      | 2      | 0.9421327080 |
| qft             | 5      | -      | 0.6319444444 |
| ph1             | 6      | -      | 0.5249524010 |
| ph_1_random     | 6      | -      | 2.4863231854 |
| ph_1_random     | 6      | -      | 2.4863231854 |
| ph_1_random     | 6      | -      | 2.4863231854 |
| ph_1_random     | 6      | -      | 2.4863231854 |
| ph_1_random     | 6      | -      | 2.4863231854 |
| ph_1_random     | 6      | -      | 2.4863231854 |
| ph_1_random     | 6      | -      | 2.4863231854 |
