=== 量子线路训练数据记录 (Loss & Landscape) ===

========== 开始训练 2 比特线路 ==========
参数数量: 1 | 学习率: 0.1 | 训练轮次: 50
Epoch   1 | Loss: -1.039721 | Params: [0.0927]
Epoch   2 | Loss: -1.046165 | Params: [0.1671]
Epoch   3 | Loss: -1.060693 | Params: [0.2508]
Epoch   4 | Loss: -1.087079 | Params: [0.3386]
Epoch   5 | Loss: -1.126279 | Params: [0.4290]
Epoch   6 | Loss: -1.179285 | Params: [0.5215]
Epoch   7 | Loss: -1.247246 | Params: [0.6159]
Epoch   8 | Loss: -1.331567 | Params: [0.7120]
Epoch   9 | Loss: -1.434069 | Params: [0.8098]
Epoch  10 | Loss: -1.557251 | Params: [0.9091]
Epoch  11 | Loss: -1.704736 | Params: [1.0098]
Epoch  12 | Loss: -1.882131 | Params: [1.1119]
Epoch  13 | Loss: -2.098748 | Params: [1.2151]
Epoch  14 | Loss: -2.371549 | Params: [1.3191]
Epoch  15 | Loss: -2.735836 | Params: [1.4228]
Epoch  16 | Loss: -3.283829 | Params: [1.5232]
Epoch  17 | Loss: -4.428809 | Params: [1.6056]
Epoch  18 | Loss: -4.742223 | Params: [1.6138]
Epoch  19 | Loss: -4.530978 | Params: [1.5933]
Epoch  20 | Loss: -5.181075 | Params: [1.5440]
Epoch  21 | Loss: -5.005311 | Params: [1.5319]
Epoch  22 | Loss: -4.631916 | Params: [1.5388]
Epoch  23 | Loss: -4.828710 | Params: [1.5644]
Epoch  24 | Loss: -6.441087 | Params: [1.6221]
Epoch  25 | Loss: -4.354089 | Params: [1.6684]
Epoch  26 | Loss: -3.705902 | Params: [1.7075]
Epoch  27 | Loss: -3.364833 | Params: [1.7407]
Epoch  28 | Loss: -3.142394 | Params: [1.7691]
Epoch  29 | Loss: -2.983457 | Params: [1.7933]
Epoch  30 | Loss: -2.864245 | Params: [1.8139]
Epoch  31 | Loss: -2.772312 | Params: [1.8312]
Epoch  32 | Loss: -2.700315 | Params: [1.8457]
Epoch  33 | Loss: -2.643566 | Params: [1.8577]
Epoch  34 | Loss: -2.598886 | Params: [1.8673]
Epoch  35 | Loss: -2.564026 | Params: [1.8749]
Epoch  36 | Loss: -2.537348 | Params: [1.8807]
Epoch  37 | Loss: -2.517619 | Params: [1.8847]
Epoch  38 | Loss: -2.503902 | Params: [1.8873]
Epoch  39 | Loss: -2.495476 | Params: [1.8884]
Epoch  40 | Loss: -2.491775 | Params: [1.8882]
Epoch  41 | Loss: -2.492366 | Params: [1.8868]
Epoch  42 | Loss: -2.496913 | Params: [1.8844]
Epoch  43 | Loss: -2.505165 | Params: [1.8809]
Epoch  44 | Loss: -2.516943 | Params: [1.8765]
Epoch  45 | Loss: -2.532128 | Params: [1.8711]
Epoch  46 | Loss: -2.550664 | Params: [1.8649]
Epoch  47 | Loss: -2.572549 | Params: [1.8580]
Epoch  48 | Loss: -2.597839 | Params: [1.8502]
Epoch  49 | Loss: -2.626653 | Params: [1.8417]
Epoch  50 | Loss: -2.659175 | Params: [1.8324]
--- 2 比特训练完成 ---


========== 开始训练 3 比特线路 ==========
参数数量: 2 | 学习率: 0.1 | 训练轮次: 50
Epoch   1 | Loss: -1.930377 | Params: [-0.1000, -0.1000]
Epoch   2 | Loss: -1.929648 | Params: [-0.1967, -0.1510]
Epoch   3 | Loss: -1.931449 | Params: [-0.2932, -0.1809]
Epoch   4 | Loss: -1.934831 | Params: [-0.3884, -0.1984]
Epoch   5 | Loss: -1.939575 | Params: [-0.4838, -0.2077]
Epoch   6 | Loss: -1.945604 | Params: [-0.5801, -0.2112]
Epoch   7 | Loss: -1.952865 | Params: [-0.6776, -0.2105]
Epoch   8 | Loss: -1.961290 | Params: [-0.7766, -0.2066]
Epoch   9 | Loss: -1.970791 | Params: [-0.8770, -0.2005]
Epoch  10 | Loss: -1.981269 | Params: [-0.9789, -0.1929]
Epoch  11 | Loss: -1.992621 | Params: [-1.0821, -0.1842]
